"ID|int32?","INCOME|int32?","APPLIED_ONLINE|ustring?(1)","RESIDENCE|ustring?(1)","YRS_CURRENT_ADD|int16?","YRS_CURRENT_EMP|int16?","NO_OF_CARDS|int16?","CARD_DEBT|int32?","CURRENT_LOANS|int32?","LOAN_AMOUNT|int32?"
100522,43982,Y,O,13,11,2,1055,0,9405
101756,59944,Y,O,20,11,2,3894,0,9880
101354,57718,Y,O,25,16,2,1555,1,6285
100512,45621,Y,O,1,19,1,1878,0,9260
100537,45081,N,O,14,15,2,713,1,8430
100458,46645,N,O,19,4,1,884,0,6045
101430,45066,Y,P,16,15,1,860,1,6605
101432,44202,N,O,1,23,2,2611,0,12915
100601,55215,Y,P,1,6,2,1930,0,9820
101549,44460,Y,O,4,16,1,3467,1,9290
101524,57004,Y,P,14,31,1,3561,0,6720
100548,44272,Y,O,12,20,1,645,1,10095
101472,45659,Y,P,12,17,1,9466,1,17050
100536,45450,Y,O,15,24,1,4217,0,8040
100599,52495,N,O,18,16,2,2527,1,10375
100627,44671,Y,P,16,9,2,3971,1,12050
101754,50816,Y,O,0,17,2,2031,1,8075
101749,43876,Y,P,13,0,2,98,1,5330
100620,44705,Y,O,0,8,1,230,0,5720
100569,46168,Y,P,0,6,1,3762,1,12520
100782,43608,N,O,2,20,1,452,0,7610
100756,59944,Y,O,20,11,2,3894,0,9880
101452,57689,N,O,25,19,1,331,1,9915
100494,55421,N,O,11,3,2,1169,0,10715
100563,55112,Y,L,10,14,2,4113,1,14510
100677,44728,Y,P,2,7,2,847,0,11580
100697,51561,N,P,17,5,2,3010,0,16630
100423,49007,N,L,14,18,1,13360,0,24375
101722,45390,Y,O,3,2,2,154,0,11710
100439,43890,Y,O,19,18,2,505,1,6960
101363,44193,Y,P,18,3,1,260,0,6605
100325,52540,Y,S,0,15,2,397,0,8250
100532,48931,Y,O,11,19,2,652,0,7795
100695,58878,N,O,18,9,1,1680,0,6165
100589,43362,Y,O,15,4,2,434,1,4320
101764,44787,Y,O,9,4,2,982,0,8175
100704,43651,Y,P,4,11,2,527,1,6090
100741,45001,Y,P,11,17,1,2134,1,9285
100472,45659,Y,P,12,17,1,9466,1,17050
100590,59393,N,O,34,18,2,2746,0,6845
100516,45849,N,L,13,9,2,364,1,12210
100368,43474,Y,L,17,1,1,270,1,5315
100465,44048,N,O,0,6,1,222,0,10155
101635,44039,Y,O,17,6,2,109,1,6590
100625,45993,N,P,6,7,2,311,0,8670
100635,44039,Y,O,17,6,2,109,1,6590
100411,47833,Y,O,9,6,1,854,0,12920
100530,43303,Y,O,2,7,2,866,1,10220
101700,55140,N,O,20,13,2,5095,0,8540
100350,52973,N,P,13,3,1,2535,0,9365
100721,43669,Y,L,18,10,1,2518,0,12500
100676,44597,Y,O,10,12,2,468,0,8630
100793,50552,Y,O,5,23,1,466,0,6880
100283,43800,Y,O,0,4,2,725,0,7340
101694,53307,Y,O,8,27,2,1984,1,9475
100594,49529,Y,O,9,10,1,342,0,7995
100337,45209,Y,O,4,9,2,658,0,11420
100288,44956,N,O,21,21,2,806,1,8150
100284,45049,Y,P,6,16,2,1345,1,9085
101477,43761,N,O,10,6,1,1418,0,11245
101360,44052,Y,O,13,5,2,375,0,9305
100598,43514,Y,P,17,0,2,274,0,3425
100421,56486,Y,O,5,11,1,696,1,4240
100491,46785,Y,P,14,4,1,1227,1,6510
101382,49008,Y,P,10,16,2,216,0,10910
100596,47019,N,P,11,21,1,1138,1,8645
100377,51945,N,P,19,0,1,25,1,7480
100615,44298,N,O,16,19,2,763,0,8410
100382,49008,Y,P,10,16,2,216,0,10910
100633,43120,Y,P,4,10,1,801,1,6220
100416,59463,N,O,2,9,2,1298,1,4765
100642,43739,N,O,3,7,1,2247,1,10275
100394,44997,N,P,6,18,1,1238,1,8070
100535,49988,Y,P,14,21,2,2660,0,9645
100562,45103,N,O,21,14,1,2327,1,5575
101450,54673,Y,O,15,22,2,3086,1,11875
100785,43823,N,L,14,1,2,2245,1,9795
100567,57683,Y,O,14,24,1,3275,1,10185
101531,45159,N,O,6,12,1,2310,0,12065
100273,45706,Y,O,17,16,2,373,1,7275
100454,43799,Y,P,11,4,1,145,0,8810
101405,43482,Y,O,4,1,1,361,1,8375
100492,53365,Y,O,21,26,1,3819,0,10250
100415,53791,Y,O,1,15,1,1844,1,11855
100511,43835,Y,O,3,1,2,1501,1,12220
100280,44202,Y,O,8,0,2,748,0,10455
101394,44997,N,P,6,18,1,1238,1,8070
101385,52896,Y,O,19,6,2,1655,1,8975
100485,45673,Y,O,22,16,1,359,0,6670
100505,45153,N,O,2,13,2,804,1,8900
100385,52896,Y,O,19,6,2,1655,1,8975
101798,47111,Y,P,1,14,2,1001,1,10510
100279,44756,Y,O,19,6,1,2117,1,10760
100578,45750,Y,P,13,13,1,1930,1,11355
101797,51385,Y,O,14,10,1,777,0,7430
100384,53195,N,O,8,31,2,7757,1,13645
100795,53842,Y,O,25,13,2,3115,0,6150
101784,44261,N,O,9,22,1,823,1,8010
100527,48061,Y,P,3,5,2,296,0,9680
100571,50076,Y,P,0,17,1,460,1,9385
100605,49415,Y,O,17,11,1,150,0,6485
100533,44363,Y,O,5,19,1,1609,1,7325
100293,48336,N,O,16,2,2,1227,0,3705
101746,45194,N,O,15,10,2,1678,1,12915
100641,44534,N,O,9,13,2,805,0,8775
100306,43650,Y,P,8,12,1,267,0,7800
101448,53201,N,O,18,29,1,17134,0,16275
100390,53559,Y,O,7,19,2,2646,0,10105
100623,48599,Y,O,16,25,1,1363,1,9385
100698,58785,N,P,31,16,2,1111,0,7415
100718,45240,N,P,12,5,2,1320,1,5840
101696,43977,Y,P,14,12,1,4763,1,11145
100568,55752,Y,O,5,11,2,2048,1,6685
101704,43651,Y,P,4,11,2,527,1,6090
100703,45368,N,O,4,2,2,711,1,10340
100323,46955,N,O,16,1,2,201,1,3380
100668,59692,N,O,11,3,1,469,0,10100
100381,53115,Y,O,12,1,2,674,0,10455
100603,52173,Y,P,4,22,2,689,0,9720
100345,53552,Y,O,19,22,2,1255,1,4430
100496,44449,Y,P,9,16,1,4168,0,8450
101757,54451,Y,P,14,30,1,3312,1,9440
101419,51219,Y,P,14,15,2,1292,1,7005
100565,46823,Y,P,22,2,1,94,1,6575
100597,53731,N,P,26,16,2,13160,1,17985
100640,43293,N,P,16,7,1,2207,1,8450
100468,45970,N,O,11,7,1,579,0,9280
101707,46119,Y,P,1,6,1,104,0,11470
100629,54671,Y,O,25,28,2,3612,0,8610
101497,55777,Y,P,1,11,2,453,0,6215
100657,59276,Y,P,20,21,2,8000,1,8265
100490,50799,Y,O,22,19,2,1919,0,6020
